"tract","Name","Density_of_Jobs_in_2013"
26125183500,"Royal Oak, MI",25093
26125161600,"Southfield City Centre, Southfield, MI",19750
26125162200,"Southfield, MI",14799
26125197600,"Troy, MI",13947
26125162100,"Southfield, MI",11899
26125160900,"Southfield, MI",10492
26125160300,"Southfield, MI",8745
26125153200,"Birmingham, MI",8652
26163556500,"Livonia, MI",7584
26125197701,"Troy, MI",7236
26125197702,"Troy, MI",6554
26125152900,"Birmingham, MI",6283
26125172400,"Oak Park, MI",5432
26125161100,"Southfield, MI",5208
26125196500,"Troy, MI",4566
26125153100,"Birmingham, MI",4434
26125166000,"Farmington Hills, MI",4172
26125168700,"Farmington Hills, MI",4136
26125142700,"Pontiac, MI",3932
26125196800,"Troy, MI",3838
26125183000,"Royal Oak, MI",3698
26125168400,"Northville, MI",3693
26125162000,"Southfield, MI",3631
26125160400,"Southfield, MI",3202
26125180100,"Clawson, MI",3143
26163556100,"Livonia, MI",3122
26125196900,"Troy, MI",3105
26125167400,"Farmington Hills, MI",3012
26125183400,"Royal Oak, MI",2962
26125166100,"Farmington Hills, MI",2843
26125170000,"Berkley, MI",2699
26125165000,"Farmington, MI",2637
26125171600,"Oak Park, MI",2605
26125161800,"Southfield, MI",2520
26125160500,"Southfield, MI",2426
26125170300,"Berkley, MI",2403
26125166700,"Farmington Hills, MI",2367
26125167000,"Farmington Hills, MI",2294
26125136600,"Novi, MI",2277
26125161500,"Southfield, MI",2270
26125162500,"Southfield, MI",2236
26163560100,"Northville, MI",2230
26125136700,"Northville, MI",2172
26125171500,"Oak Park, MI",2113
26125184100,"Royal Oak, MI",2066
26125159000,"Franklin, MI",2061
26125133100,"Wixom, MI",1993
26125136101,"Novi, MI",1940
26125162300,"Southfield, MI",1934
26125165100,"Farmington, MI",1932
26125161900,"Southfield, MI",1878
26125168900,"Farmington Hills, MI",1835
26125156900,"West Bloomfield Township, MI",1833
26125157800,"West Bloomfield Township, MI",1821
26163554200,"Redford Charter Township, MI",1820
26125161200,"Southfield, MI",1720
26125170400,"Berkley, MI",1679
26125167300,"Farmington Hills, MI",1670
26125136000,"Novi, MI",1658
26125153300,"Birmingham, MI",1622
26125160600,"Southfield, MI",1603
26125171000,"Oak Park, MI",1592
26125161000,"Southfield, MI",1585
26125154200,"Keego Harbor, MI",1532
26125183300,"Royal Oak, MI",1509
26125172500,"Ferndale, MI",1483
26125160800,"Southfield, MI",1464
26125170200,"Berkley, MI",1451
26125180000,"Clawson, MI",1442
26125166600,"Farmington Hills, MI",1419
26125142300,"Pontiac, MI",1385
26125160000,"Lathrup Village, MI",1362
26125150100,"Pontiac, MI",1348
26125134800,"Commerce Charter Township, MI",1335
26125152600,"Birmingham, MI",1316
26125180300,"Clawson, MI",1314
26125150600,"Bloomfield Hills, MI",1309
26125196700,"Troy, MI",1296
26163556300,"Livonia, MI",1290
26125166500,"Farmington Hills, MI",1286
26125162400,"Southfield, MI",1284
26125134900,"Walled Lake, MI",1255
26125145400,"Waterford Township, MI",1165
26125152000,"Bloomfield Hills, MI",1160
26125170100,"Berkley, MI",1146
26125136800,"Novi, MI",1113
26125154000,"Sylvan Lake, MI",1046
26125161300,"Southfield, MI",1021
26125184000,"Royal Oak, MI",1012
26163539700,"Detroit, MI",993
26125134600,"Commerce Charter Township, MI",960.1
26163560200,"Northville, MI",935.5
26125150200,"Bloomfield Hills, MI",928.5
26125136300,"Novi, MI",910.1
26125157900,"West Bloomfield Township, MI",896
26125134500,"Commerce Charter Township, MI",895.8
26163556200,"Livonia, MI",871.4
26125157400,"West Bloomfield Township, MI",863
26125157500,"West Bloomfield Township, MI",837.6
26163540900,"Detroit, MI",825.5
26125171300,"Oak Park, MI",795.6
26125137700,"Northville, MI",789.6
26125150900,"Bloomfield Hills, MI",789.4
26125168800,"Farmington Hills, MI",772.9
26125134700,"Walled Lake, MI",765.6
26125183600,"Royal Oak, MI",749.6
26125134400,"Commerce Charter Township, MI",747
26125183200,"Royal Oak, MI",734.2
26125161700,"Southfield, MI",703.6
26125171200,"Oak Park, MI",700.3
26125158100,"Beverly Hills, MI",695.1
26125171400,"Oak Park, MI",692.3
26163539300,"Detroit, MI",679.1
26125188000,"Huntington Woods, MI",671.4
26125166200,"Farmington Hills, MI",667.7
26125136102,"Novi, MI",653.7
26125150300,"Bloomfield Hills, MI",647.6
26125156300,"West Bloomfield Township, MI",626.4
26125157700,"West Bloomfield Township, MI",624
26125154500,"Orchard Lake, Orchard Lake Village, MI",603.8
26125161400,"Southfield, MI",600.2
26125188100,"Huntington Woods, MI",595.2
26125158000,"Beverly Hills, MI",581.4
26163554100,"Redford Charter Township, MI",574.8
26125157100,"West Bloomfield Township, MI",571.6
26125168600,"Farmington Hills, MI",568.6
26125153000,"Birmingham, MI",566.7
26163541700,"Detroit, MI",528.3
26163541500,"Berg - Lahser, Detroit, MI",520.9
26125165200,"Farmington, MI",509.1
26163556400,"Livonia, MI",499.7
26125160700,"Southfield, MI",486.2
26125137100,"Novi, MI",485.5
26125145501,"Waterford Township, MI",483.6
26125135200,"Commerce Charter Township, MI",479.5
26125151000,"Bloomfield Village, Bloomfield Hills, MI",475.9
26125196600,"Troy, MI",456.8
26125168100,"Farmington Hills, MI",437.2
26125137800,"Northville, MI",436.1
26125150500,"Bloomfield Hills, MI",427.5
26125156500,"West Bloomfield Township, MI",420.6
26125166800,"Farmington Hills, MI",411.4
26125150800,"Bloomfield Hills, MI",393.2
26125157300,"West Bloomfield Township, MI",388.8
26125152700,"Birmingham, MI",385.6
26125158200,"Beverly Hills, MI",383.2
26125167500,"Farmington Hills, MI",357
26125196300,"Troy, MI",354.9
26125183700,"Royal Oak, MI",329.5
26125157200,"West Bloomfield Township, MI",325.7
26125130500,"White Lake, White Lake charter Township, MI",320.2
26125136500,"Village Oaks, Novi, MI",309.2
26125134000,"Commerce Charter Township, MI",302.3
26163539100,"Eight Mile Wyoming, Detroit, MI",300
26125130700,"White Lake, White Lake charter Township, MI",299.6
26125168500,"Farmington Hills, MI",293.7
26163539200,"Detroit, MI",278.6
26163540100,"Detroit, MI",277.7
26125157600,"West Bloomfield Township, MI",244
26163538800,"Detroit, MI",239.2
26125150000,"Bloomfield Township, MI",234
26163540800,"Detroit, MI",222.9
26125156000,"West Bloomfield Township, MI",220.3
26163539000,"Eight Mile Wyoming, Detroit, MI",211.9
26125166900,"Farmington Hills, MI",193.1
26125157000,"West Bloomfield Township, MI",188.5
26163541800,"Five Points, Detroit, MI",183.2
26125134300,"Commerce Charter Township, MI",176.4
26163540700,"Detroit, MI",175.1
26163540200,"Detroit, MI",174.8
26163538900,"Detroit, MI",173
26125150700,"Bloomfield Hills, MI",171.8
26125135100,"Commerce Charter Township, MI",163.9
26125156200,"West Bloomfield Township, MI",162.6
26125133003,"Wixom, MI",161.4
26125196400,"Troy, MI",152.5
26125171100,"Oak Park, MI",148.9
26125167800,"Farmington Hills, MI",144.4
26125156100,"West Bloomfield Township, MI",137.5
26125156400,"West Bloomfield Township, MI",125.6
26125154100,"West Bloomfield Township, MI",124.5
26125145200,"Waterford Township, MI",113.4
26125166400,"Farmington Hills, MI",96.42
26125133002,"Wixom, MI",89.09
26125145502,"Waterford Township, MI",86.04
26125167900,"Farmington Hills, MI",82
26125150400,"Bloomfield Township, MI",65.36
26125137400,"Novi, MI",59.37
26125154600,"West Bloomfield Township, MI",59.28
26125130600,"White Lake, White Lake charter Township, MI",45.45
26125130300,"White Lake, White Lake charter Township, MI",45.11
26125135300,"Commerce Charter Township, MI",16.49